Team,Person_id,Player,Season_Type,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,CareerHighPTS,eFG%,TS%
76ers GC,1600003,Steez,Regular,16,384,80,115,0.696,4,9,0.444,17,27,0.63,76,80,156,33,30,29,33,10,181,34,0.713,0.713
76ers GC,1600022,Newdini33,Regular,16,384,46,74,0.622,18,36,0.5,2,2,1,11,8,19,14,32,33,9,4,112,31,0.743,0.748
76ers GC,1600025,ZDS,Regular,16,384,107,199,0.538,60,127,0.472,6,9,0.667,3,7,10,32,17,22,19,1,280,52,0.688,0.69
76ers GC,1600097,Radiant,Regular,16,384,123,230,0.535,56,111,0.505,18,20,0.9,1,8,9,177,17,21,68,1,320,34,0.657,0.67
76ers GC,1600207,oCASSIUS,Regular,1,24,13,24,0.542,10,20,0.5,0,0,0,3,7,10,4,0,2,3,0,36,36,0.75,0.75
76ers GC,1600222,BreadwinnerLA,Regular,15,360,52,84,0.619,17,38,0.447,8,9,0.889,31,56,87,29,31,45,17,17,129,21,0.72,0.733
Blazer5 Gaming,1600011,OneWildWalnut,Regular,16,390,124,172,0.721,0,1,0,7,12,0.583,94,108,202,27,26,35,43,7,255,31,0.721,0.719
Blazer5 Gaming,1600021,Mama Im Dat Man,Regular,16,390,132,235,0.562,63,121,0.521,42,50,0.84,4,14,18,185,18,23,77,4,369,32,0.696,0.718
Blazer5 Gaming,1600049,LavishPhenom,Regular,16,390,53,92,0.576,15,28,0.536,10,10,1,3,6,9,11,46,41,8,4,131,21,0.658,0.679
Blazer5 Gaming,1600095,Jomar12 PR,Regular,7,168,32,56,0.571,15,32,0.469,2,3,0.667,3,15,18,13,18,14,4,5,81,20,0.705,0.707
Blazer5 Gaming,1600100,King Peroxide,Regular,11,270,55,113,0.487,28,67,0.418,5,7,0.714,3,8,11,16,31,14,18,0,143,39,0.611,0.616
Blazer5 Gaming,1600247,Daveed 3x,Regular,14,342,33,61,0.541,14,28,0.5,3,5,0.6,10,41,51,13,23,38,14,13,83,14,0.656,0.657
Bucks Gaming,1600043,Arooks,Regular,16,390,119,221,0.538,74,142,0.521,7,7,1,3,4,7,62,35,30,31,1,319,41,0.706,0.712
Bucks Gaming,1600094,BigMeek,Regular,9,222,66,112,0.589,31,55,0.564,6,6,1,4,22,26,14,4,11,15,3,169,27,0.728,0.737
Bucks Gaming,1600212,chaddynick,Regular,16,390,40,73,0.548,26,52,0.5,4,6,0.667,4,13,17,25,42,23,30,1,110,21,0.726,0.727
Bucks Gaming,1600216,RSG,Regular,7,168,12,14,0.857,1,1,1,3,4,0.75,34,32,66,19,11,6,10,2,28,9,0.893,0.888
Bucks Gaming,1600223,SlayIsland,Regular,16,390,39,72,0.542,11,22,0.5,14,14,1,6,20,26,44,28,21,42,0,103,13,0.618,0.659
Bucks Gaming,1600224,Plondo,Regular,16,390,130,221,0.588,9,28,0.321,24,35,0.686,53,92,145,70,46,36,42,24,293,36,0.609,0.62
Cavs Legion GC,1600002,oLarry,Regular,16,387,68,109,0.624,6,17,0.353,23,31,0.742,38,65,103,56,29,35,36,13,165,24,0.651,0.673
Cavs Legion GC,1600045,LYKaPRO,Regular,6,144,18,44,0.409,8,20,0.4,5,6,0.833,3,1,4,36,5,8,16,0,49,23,0.5,0.525
Cavs Legion GC,1600050,Savage,Regular,10,243,38,64,0.594,10,29,0.345,3,5,0.6,1,8,9,42,7,14,29,0,89,22,0.672,0.672
Cavs Legion GC,1600070,Godddof2k,Regular,16,387,48,79,0.608,11,26,0.423,9,9,1,12,14,26,27,53,57,12,4,116,30,0.677,0.699
Cavs Legion GC,1600230,Strainer,Regular,16,387,103,174,0.592,39,75,0.52,10,13,0.769,1,19,20,66,16,14,44,7,255,42,0.704,0.709
Celtics Crossover Gaming,1600031,oFAB,Regular,15,363,129,224,0.576,42,83,0.506,34,44,0.773,5,13,18,188,24,38,78,0,334,36,0.67,0.686
Celtics Crossover Gaming,1600046,Mel East,Regular,16,387,62,98,0.633,25,48,0.521,14,15,0.933,10,9,19,14,45,41,10,6,163,31,0.76,0.779
Celtics Crossover Gaming,1600091,ProFusion,Regular,16,387,102,172,0.593,53,99,0.535,9,12,0.75,4,16,20,16,38,34,17,3,266,35,0.747,0.75
Celtics Crossover Gaming,1600219,NO xAUTOGRAPHSx,Regular,16,387,68,99,0.687,7,19,0.368,8,11,0.727,83,104,187,45,18,30,30,19,151,15,0.722,0.727
Celtics Crossover Gaming,1600232,Bulleyy,Regular,15,363,53,115,0.461,34,71,0.479,4,6,0.667,4,25,29,13,29,24,26,9,144,15,0.609,0.612
Celtics Crossover Gaming,1600237,Suavy,Regular,2,48,5,9,0.556,3,7,0.429,0,0,0,1,4,5,1,5,5,3,2,13,8,0.722,0.722
Grizz Gaming,1600029,UniversaIPhenom,Regular,7,168,18,38,0.474,4,14,0.286,3,4,0.75,6,25,31,4,9,10,8,4,43,24,0.526,0.541
